Customer Name,Sales,Profit,Quantity,Cluster,Customer Segment
Astrea Jones,629.2479999999999,60.4265,22,0,Budget
Barbara Fisher,599.798,227.4384,38,0,Budget
Barry Blumstein,744.3399999999999,11.583900000000007,26,0,Budget
Barry Franz,1333.88,-291.38109999999995,26,0,Budget
Barry Franz̦sisch,2888.506,302.02,78,1,Regular
Barry Gonzalez,2798.948,-711.4274,35,0,Budget
Barry Pond,983.42,209.78300000000002,30,0,Budget
Barry Weirich,385.516,-58.28659999999999,8,0,Budget
Bart Folk,272.95,110.9272,29,0,Budget
Bart Pistole,2442.044,433.9751,70,1,Regular
Bart Watters,4750.358,921.2574,74,1,Regular
Becky Castell,2933.676,251.5974,60,1,Regular
Becky Martin,11789.63,-1659.9580999999998,64,1,Regular
Becky Pak,1697.8609999999999,647.3847000000001,32,0,Budget
Ben Ferrer,5907.972,1538.2127,102,2,Premium
Ben Peterman,3675.861,363.5991,69,1,Regular
Ben Wallace,1738.406,246.9973,49,0,Budget
Benjamin Farhat,1585.162,523.2133,48,0,Budget
Benjamin Patterson,1181.49,-197.2695,14,0,Budget
Benjamin Venier,1523.2730000000001,315.2214,49,0,Budget
Berenike Kampe,659.1379999999999,-63.764399999999995,58,0,Budget
Beth Fritzler,791.9899999999999,25.870199999999997,11,0,Budget
Beth Paige,2475.157,-319.0637,51,0,Budget
Beth Thompson,2567.656,417.5918,33,0,Budget
Bill Donatelli,5718.521,1094.5037,75,1,Regular
Bill Eplett,4204.676,1487.7739000000001,35,1,Regular
Bill Overfelt,2682.728,278.77700000000004,43,0,Budget
Bill Shonely,10501.653,2616.0643999999998,39,2,Premium
Bill Stewart,3887.834,-17.532200000000024,58,1,Regular
Bill Tyler,2186.6130000000003,257.9163,38,0,Budget
Bobby Elias,2261.438,755.9150999999999,19,0,Budget
Bobby Odegard,130.83,59.4522,7,0,Budget
Bobby Trafton,603.876,-77.5256,16,0,Budget
Brad Eason,1727.652,139.20080000000002,40,0,Budget
Brad Norvell,265.296,36.6131,15,0,Budget
Brad Thomas,415.19599999999997,126.8694,11,0,Budget
Bradley Drucker,4411.2429999999995,1142.1225,49,1,Regular
Bradley Nguyen,1459.344,340.7054,79,1,Regular
Bradley Talbott,2684.4919999999997,409.4983,44,0,Budget
Brenda Bowman,6765.728,1015.0749999999999,83,1,Regular
Brendan Dodson,320.54,116.714,11,0,Budget
Brendan Murry,808.162,95.58160000000001,22,0,Budget
Brendan Sweed,2454.928,381.7807,41,0,Budget
Brian Dahlen,3288.471,634.8463,74,1,Regular
Brian DeCherney,1538.11,206.75689999999997,27,0,Budget
Brian Derr,582.646,141.53400000000002,19,0,Budget
Brian Moss,7294.185,2199.2781,95,2,Premium
Brian Stugart,3288.1099999999997,238.73680000000002,47,1,Regular
Brian Thompson,3196.752,447.74839999999995,88,1,Regular
Brooke Gillingham,1874.172,107.5715,24,0,Budget
Brosina Hoffman,6255.351,802.7898,97,1,Regular
Bruce Degenhardt,1526.5,333.9791,29,0,Budget
Bruce Geld,1006.356,119.34790000000001,22,0,Budget
Bruce Stewart,2562.382,-113.29840000000003,45,0,Budget
Bryan Davis,658.466,141.265,21,0,Budget
Bryan Mills,1338.842,137.7439,44,0,Budget
Bryan Spruell,949.4300000000001,194.0516,22,0,Budget
Candace McMahon,1673.888,214.463,38,0,Budget
Cari Sayre,1278.954,185.3776,22,0,Budget
Cari Schnelling,537.632,105.8275,16,0,Budget
Carl Jackson,16.52,1.652,5,0,Budget
Carl Ludwig,1262.0140000000001,328.0847,24,0,Budget
Carl Weiss,1136.592,370.8298,40,0,Budget
Carlos Daly,2033.968,426.661,35,0,Budget
Carlos Meador,565.392,-43.732400000000005,18,0,Budget
Carlos Soltero,3036.547,-126.4223,68,1,Regular
Carol Adams,3789.7228,1143.3817,29,0,Budget
Carol Darley,639.766,-206.7172,22,0,Budget
Carol Triggs,3241.898,161.22629999999995,60,1,Regular
Caroline Jumper,11164.974,858.7414,83,2,Premium
Cassandra Brandow,6076.139,150.2089,122,1,Regular
Catherine Glotzbach,904.4680000000001,86.5106,37,0,Budget
Cathy Armstrong,1679.7240000000002,211.2559,49,0,Budget
Cathy Hwang,1537.236,195.15109999999999,13,0,Budget
Cathy Prescott,5402.254,427.0258,57,1,Regular
Chad Cunningham,1770.945,208.5912,46,0,Budget
Chad McGuire,1661.6100000000001,409.0679,35,0,Budget
Chad Sievert,884.64,143.8339,28,0,Budget
Charles Crestani,2471.65,392.2825,31,0,Budget
Charles McCrossin,2533.314,-394.3686,23,0,Budget
Charles Sheldon,844.4580000000001,113.1405,30,0,Budget
Charlotte Melton,1475.144,91.2033,21,0,Budget
Chloris Kastensmidt,3154.855,141.2831,122,1,Regular
Chris Cortes,3913.418,393.9618,81,1,Regular
Chris McAfee,2305.712,365.0387,28,0,Budget
Chris Selesnick,2754.216,738.3626,97,1,Regular
Christina Anderson,2648.2872,279.6183,65,1,Regular
Christina DeMoss,1205.584,233.0274,39,0,Budget
Christina VanderZanden,2830.6279999999997,493.0861,54,1,Regular
Christine Abelman,1421.954,246.02179999999998,25,0,Budget
Christine Kargatis,2945.321,261.22090000000003,46,0,Budget
Christine Phan,5888.275,-1850.3029000000001,59,1,Regular
Christine Sundaresam,3202.1620000000003,831.9432,74,1,Regular
Christopher Conant,12129.072000000002,2177.0493,34,2,Premium
Christopher Martinez,8954.019999999999,3899.8903999999998,34,2,Premium
Christopher Schild,3651.8585000000003,-342.80330000000004,47,0,Budget
Christy Brittain,1949.2,272.3883,44,0,Budget
Chuck Clark,2870.05,424.6583,63,1,Regular
Chuck Magee,287.99,64.4296,32,0,Budget
Chuck Sachs,550.644,156.2593,13,0,Budget
Cindy Chapman,1659.438,154.851,40,0,Budget
Cindy Schnelling,1077.2285,-302.8761,33,0,Budget
Cindy Stewart,5690.054999999999,-6626.389499999999,40,0,Budget
Claire Gute,1148.7800000000002,169.93439999999998,14,0,Budget
Claudia Bergmann,4246.4555,1049.5601,74,1,Regular
Clay Cheatham,113.832,33.870599999999996,14,0,Budget
Clay Ludtke,10880.546,1933.7830999999999,106,2,Premium
Clay Rozendal,2148.852,74.40129999999999,32,0,Budget
Clytie Kelty,2372.75,497.70980000000003,108,1,Regular
Corey Catlett,2540.631,331.434,39,0,Budget
Corey Roper,475.9,144.7594,14,0,Budget
Corey-Lock,1300.076,205.62820000000002,30,0,Budget
Corinna Mitchell,6339.5576,1572.4585,42,2,Premium
Craig Carreira,2269.7015,187.8399,47,0,Budget
Craig Carroll,2854.1150000000002,850.1591,51,1,Regular
Craig Leslie,2353.586,229.00990000000002,34,0,Budget
Craig Molinari,3984.4524,176.3108,57,1,Regular
Craig Reiter,1600.55,306.9176,18,0,Budget
Craig Yedwab,2900.026,60.64670000000001,43,0,Budget
Cyma Kinney,1582.109,-338.4311,64,1,Regular
Cynthia Arntzen,3041.566,204.48950000000002,72,1,Regular
Cynthia Delaney,1860.732,403.8422,49,0,Budget
Cynthia Voltz,2370.3136,98.99749999999999,62,1,Regular
Cyra Reiten,1397.8724,83.27029999999999,26,0,Budget
Damala Kotsonis,3256.48,881.1228000000001,86,1,Regular
Dan Campbell,3336.168,-1441.6312999999998,64,1,Regular
Dan Lawera,1503.112,322.2449,51,0,Budget
Dan Reichenbach,6528.034000000001,1641.8613,103,2,Premium
Dana Kaydos,4282.176,937.6496,65,1,Regular
Daniel Byrd,2171.599,431.3748,47,0,Budget
Daniel Lacy,3272.2,4.213200000000029,43,0,Budget
Daniel Raglin,8350.868,2869.0759999999996,57,2,Premium
Dario Medina,1322.034,108.7583,28,0,Budget
Darren Budd,2839.2272,213.00289999999998,43,0,Budget
Darren Koutras,1687.04,-107.35379999999998,32,0,Budget
Darren Powers,1050.636,241.4524,58,1,Regular
Darrin Martin,6345.103,1677.3931,87,2,Premium
Darrin Sayre,1762.213,193.3319,54,0,Budget
Darrin Van Huff,1119.483,-427.184,28,0,Budget
Dave Brooks,4531.646,473.0272,48,1,Regular
Dave Hallsten,4932.872,1193.7404,81,1,Regular
Dave Kipp,2650.557,536.3935,33,0,Budget
Dave Poirier,2215.002,563.1761,63,1,Regular
David Bremer,2973.094,-1421.7692,59,1,Regular
David Flashing,2390.534,-259.3097,23,0,Budget
David Kendrick,797.832,249.9447,20,0,Budget
David Philippe,1058.616,-40.93759999999999,20,0,Budget
David Smith,2881.8128,163.6993,68,1,Regular
David Wiener,1080.751,-86.87379999999999,39,0,Budget
Dean Braden,2332.577,169.9679,75,1,Regular
Dean Katz,4802.394,209.89940000000004,70,1,Regular
Dean percer,7198.7609999999995,333.36479999999995,99,1,Regular
Deanra Eno,2550.874,464.47139999999996,38,0,Budget
Deborah Brumfield,4655.897,841.8263999999999,52,1,Regular
Debra Catini,1174.618,132.06820000000002,37,0,Budget
Deirdre Greer,3195.818,562.7761,39,0,Budget
Delfina Latchford,1458.258,288.8732,74,1,Regular
Denise Leinenbach,585.02,222.6812,32,0,Budget
Denise Monton,4074.4719999999998,1319.0586,41,1,Regular
Dennis Bolton,1081.466,291.0085,28,0,Budget
Dennis Kane,3318.486,377.0799,77,1,Regular
Dennis Pardue,5480.723999999999,1571.8318,50,1,Regular
Denny Blanton,1711.692,438.9092,62,1,Regular
Denny Joy,2012.52,483.03499999999997,20,0,Budget
Denny Ordway,1300.0315,-38.90860000000001,48,0,Budget
Dianna Arnett,156.76,56.7904,27,0,Budget
Dianna Vittorini,3341.587,353.2127,62,1,Regular
Dianna Wilson,5271.628,1348.7556,38,1,Regular
Dionis Lloyd,3539.322,-52.78799999999997,33,0,Budget
Don Jones,2501.6879999999996,345.2521,52,1,Regular
Don Miller,1376.792,199.7688,33,0,Budget
Don Weiss,344.08,69.6672,21,0,Budget
Dorothy Badders,3908.8028,109.32700000000001,61,1,Regular
Dorothy Dickinson,269.542,36.4344,33,0,Budget
Dorothy Wardle,1204.854,-266.8966,44,0,Budget
Dorris liebe,755.602,175.2388,19,0,Budget
Doug Bickford,1989.05,438.80119999999994,41,0,Budget
Doug Jacobs,3356.398,731.5644,43,1,Regular
Doug O'Connell,1267.316,294.0676,36,0,Budget
Duane Benoit,1155.202,177.67350000000002,33,0,Budget
Duane Huffman,1043.096,116.667,41,0,Budget
Duane Noonan,2139.79,540.5405000000001,41,0,Budget
Ed Braxton,3644.978,13.621500000000005,55,1,Regular
Ed Jacobs,2162.174,387.0176,31,0,Budget
Ed Ludwig,124.28,27.1154,9,0,Budget
Edward Becker,3236.314,-80.28599999999999,91,1,Regular
Edward Hooks,10310.880000000001,1393.5154,120,2,Premium
Edward Nazzal,2199.366,496.1131,27,0,Budget
Eileen Kiefer,1303.478,97.10659999999999,18,0,Budget
Eleni McCrary,2567.0099999999998,-133.8275,23,0,Budget
Elizabeth Moffitt,2339.598,682.5541999999999,57,1,Regular
Ellis Ballard,4358.128,656.1988,41,1,Regular
Elpida Rittenbach,1245.788,-295.7398,27,0,Budget
Emily Burns,2767.219,261.5315,41,0,Budget
Emily Ducich,3484.92,670.4435000000001,54,1,Regular
Emily Grady,1832.02,104.2656,44,0,Budget
Emily Phan,5478.0608,144.9578,124,1,Regular
Eric Barreto,944.6000000000001,0.6042000000000058,24,0,Budget
Eric Hoffmann,684.1709999999999,53.53980000000001,72,1,Regular
Eric Murdock,933.704,102.29599999999999,18,0,Budget
Erica Bern,1643.255,162.8781,18,0,Budget
Erica Hackney,825.9499999999999,150.3759,20,0,Budget
Erica Hernandez,1219.53,-94.14079999999997,50,0,Budget
Erica Smith,3510.4579999999996,1003.2935,31,0,Budget
Erin Ashbrook,2846.705,-52.74059999999998,87,1,Regular
Erin Creighton,461.914,96.4256,37,0,Budget
Erin Mull,228.99,40.15459999999999,22,0,Budget
Erin Smith,4657.924,246.6661,77,1,Regular
Eudokia Martin,1041.0420000000001,240.2362,34,0,Budget
Eugene Barchas,3071.126,184.7656,30,0,Budget
Eugene Hildebrand,3082.653,96.27019999999999,76,1,Regular
Eugene Moren,4588.436000000001,1319.3655,74,1,Regular
Eva Jacobs,2656.691,451.87550000000005,31,0,Budget
Evan Bailliet,1186.326,282.1701,20,0,Budget
Evan Henry,923.884,242.1107,22,0,Budget
Evan Minnotte,366.822,21.7721,13,0,Budget
Filia McAdams,2456.638,249.6808,48,0,Budget
Frank Atkinson,2984.054,520.5229,58,1,Regular
Frank Carlisle,3418.742,1217.1662000000001,50,1,Regular
Frank Gastineau,1383.144,394.73969999999997,48,0,Budget
Frank Hawley,4256.272,1073.2676,65,1,Regular
Frank Merwin,3736.198,198.10949999999997,79,1,Regular
Frank Olsen,2678.438,215.59689999999998,60,1,Regular
Frank Preis,4046.746,406.44730000000004,54,1,Regular
Fred Chung,3889.366,714.2926,37,0,Budget
Fred Harton,2271.284,706.289,52,1,Regular
Fred Hopkins,6987.196,2050.2826,52,2,Premium
Fred McMath,2523.266,191.4898,53,1,Regular
Fred Wasserman,79.75,23.491300000000003,9,0,Budget
Gary Hansen,2819.4669999999996,-576.8335,65,1,Regular
Gary Hwang,4172.8460000000005,1176.4181,51,1,Regular
Gary McGarr,3582.8199999999997,347.266,43,0,Budget
Gary Mitchum,3078.624,793.2814000000001,54,1,Regular
Gary Zandusky,4355.150000000001,1087.7539,48,1,Regular
Gene Hale,1361.2440000000001,-95.4498,15,0,Budget
Gene McClure,1255.682,441.3185,53,0,Budget
George Ashbrook,3919.7760000000003,840.899,48,1,Regular
George Bell,1568.44,7.837100000000003,62,1,Regular
George Zrebassa,2454.6220000000003,828.661,25,0,Budget
Georgia Rosenberg,1284.38,359.83320000000003,23,0,Budget
Giulietta Baptist,4716.288,1135.8393,63,1,Regular
Giulietta Dortch,1888.07,230.93729999999996,25,0,Budget
Giulietta Weimer,2189.019,-268.54229999999995,43,0,Budget
Grace Kelly,6497.27,1448.5525,66,2,Premium
Grant Thornton,9351.212,-4108.6589,26,0,Budget
Greg Guthrie,2224.0,12.698500000000008,92,1,Regular
Greg Hansen,146.94080000000002,-5.810200000000001,9,0,Budget
Greg Matthias,3163.628,35.48649999999999,31,0,Budget
Greg Maxwell,6049.966,188.7235,44,1,Regular
Greg Tran,11820.119999999999,2163.4269,106,2,Premium
Guy Armstrong,1398.382,136.70790000000002,79,1,Regular
Guy Phonely,236.53,31.837600000000002,21,0,Budget
Guy Thornton,226.436,-6.139200000000002,23,0,Budget
Hallie Redmond,1299.288,185.5794,38,0,Budget
Harold Dahlen,251.36,-135.87599999999998,31,0,Budget
Harold Engle,883.5319999999999,274.4028,44,0,Budget
Harold Pawlan,1990.314,373.8637,44,0,Budget
Harold Ryan,5248.787,1196.9504,51,1,Regular
Harry Greene,785.628,147.0032,31,0,Budget
Harry Marie,8236.7648,2437.9836,76,2,Premium
Heather Jas,358.1,98.6548,21,0,Budget
Heather Kirkland,4877.784,956.9451,64,1,Regular
Helen Abelman,2163.3,270.8574,45,0,Budget
Helen Andreada,2584.158,99.1445,72,1,Regular
Helen Wasserman,9300.254,2164.1611,85,2,Premium
Henia Zydlo,886.52,-130.3879,21,0,Budget
Henry Goldwyn,3247.642,-2797.9635000000003,68,1,Regular
Henry MacAllister,736.276,117.2755,29,0,Budget
Herbert Flentye,2533.1639999999998,-13.876799999999989,70,1,Regular
Hilary Holden,218.668,86.7342,20,0,Budget
Hunter Glantz,3690.284,804.6113,38,0,Budget
Hunter Lopez,12873.297999999999,5622.4292000000005,50,2,Premium
Ionia McGrath,2872.63,975.7701,19,0,Budget
Irene Maddox,4930.474,514.6527,93,1,Regular
Ivan Gibson,744.574,320.4982,19,0,Budget
Ivan Liston,5040.736,1121.937,60,1,Regular
Jack Garza,2358.676,684.1911,20,0,Budget
Jack Lebron,1214.956,-207.79559999999998,42,0,Budget
Jack O'Briant,3254.949,581.4045,59,1,Regular
James Galang,6366.392,1415.6664,70,2,Premium
James Lanier,1571.523,209.2817,29,0,Budget
Jamie Frazer,2279.5860000000002,575.1259,72,1,Regular
Jamie Kunitz,4427.142,1219.983,67,1,Regular
Jane Waco,7721.714,2173.7093999999997,66,2,Premium
Janet Lee,2203.7,54.51740000000002,39,0,Budget
Janet Martin,3159.1220000000003,19.82350000000004,91,1,Regular
Janet Molinari,1804.146,502.6143,52,0,Budget
Jas O'Carroll,1934.272,202.13619999999997,36,0,Budget
Jason Fortune-,955.124,97.28899999999999,42,0,Budget
Jason Gross,2240.58,3.7976000000000063,46,0,Budget
Jason Klamczynski,383.812,55.32769999999999,15,0,Budget
Jasper Cacioppo,71.263,-0.35560000000000036,12,0,Budget
Jay Fein,1911.844,330.199,58,1,Regular
Jay Kimmel,2709.632,330.2838,72,1,Regular
Jenna Caffey,1058.108,502.92440000000005,14,0,Budget
Jennifer Braxton,1791.605,156.05319999999998,43,0,Budget
Jennifer Ferguson,2371.448,635.6376,69,1,Regular
Jennifer Halladay,309.281,-24.077100000000005,29,0,Budget
Jennifer Jackson,709.178,200.5558,25,0,Budget
Jennifer Patt,1669.135,429.7465,54,1,Regular
Jeremy Ellison,1388.682,276.2197,49,0,Budget
Jeremy Farry,1082.918,-18.06730000000001,36,0,Budget
Jeremy Lonsdale,3173.874,591.7163,56,1,Regular
Jeremy Pistek,3635.594,757.1802,63,1,Regular
Jessica Myrick,1733.443,356.5395,46,0,Budget
Jesus Ocampo,1090.838,167.6709,42,0,Budget
Jill Fjeld,4198.332,1073.2088,67,1,Regular
Jill Matthias,303.948,113.1204,26,0,Budget
Jill Stevenson,1417.654,-175.54899999999998,35,0,Budget
Jim Epp,7754.976,1623.4019,74,2,Premium
Jim Karlsson,3760.028,750.9485,44,1,Regular
Jim Kriz,4760.434,1172.5303,41,1,Regular
Jim Mitchum,864.947,117.20400000000001,41,0,Budget
Jim Radford,1156.658,-785.1645,14,0,Budget
Jim Sink,1131.0639999999999,-54.8692,42,0,Budget
Jocasta Rupert,863.88,107.985,3,0,Budget
Joe Elijah,8697.842999999999,1262.2926,97,2,Premium
Joe Kamberova,4867.2,55.0483,88,1,Regular
Joel Eaton,6760.8150000000005,221.79670000000002,90,1,Regular
Joel Jenkins,195.0,34.449200000000005,11,0,Budget
John Castell,2772.055,279.56919999999997,64,1,Regular
John Dryer,2152.352,-266.55249999999995,26,0,Budget
John Grady,1507.018,206.1019,46,0,Budget
John Huston,528.91,26.082199999999997,29,0,Budget
John Lee,9799.923,228.907,143,2,Premium
John Lucas,2725.256,779.9046,38,0,Budget
John Murray,7625.076000000001,1574.6163999999999,50,2,Premium
John Stevenson,3868.02,564.9798000000001,43,1,Regular
Jonathan Doherty,7610.8640000000005,1050.2667999999999,150,2,Premium
Jonathan Howell,959.477,-13.554499999999996,35,0,Budget
Joni Blumstein,900.552,-286.9808,32,0,Budget
Joni Sundaresam,469.169,-327.9336,37,0,Budget
Joni Wasserman,1244.086,-29.575899999999987,41,0,Budget
Joseph Airdo,6491.026,-819.4217000000001,87,1,Regular
Joseph Holt,7954.9980000000005,-644.6982,64,1,Regular
Joy Bell-,644.1188,126.76490000000001,32,0,Budget
Joy Daniels,385.43,26.7605,39,0,Budget
Joy Smith,2516.494,-311.25749999999994,70,1,Regular
Julia Barnett,2518.115,201.51850000000002,32,0,Budget
Julia Dunbar,695.442,111.11410000000001,17,0,Budget
Julia West,1428.731,154.06369999999998,38,0,Budget
Juliana Krohn,3747.668,586.6625,43,1,Regular
Julie Creighton,858.576,201.5952,43,0,Budget
Julie Kriz,2932.484,122.6566,49,1,Regular
Julie Prescott,1707.71,309.7116,47,0,Budget
Justin Deggeller,8828.0305,1619.5199,60,2,Premium
Justin Ellison,2697.248,789.6476,34,0,Budget
Justin Hirsh,2256.3940000000002,-96.95300000000002,28,0,Budget
Justin MacKendrick,2833.9260000000004,754.1144,74,1,Regular
Justin Ritter,2201.686,452.37300000000005,41,0,Budget
Kalyca Meade,2260.958,635.1057000000001,72,1,Regular
Karen Bern,3152.6150000000002,763.9076,34,0,Budget
Karen Carlisle,2120.954,846.1217,40,0,Budget
Karen Daniels,8282.358,1107.6952000000003,64,2,Premium
Karen Ferguson,10604.266,1660.1386,67,2,Premium
Karen Seio,88.472,0.11099999999999888,10,0,Budget
Karl Braun,1569.464,49.71929999999999,62,1,Regular
Katharine Harms,3312.864,454.7871,70,1,Regular
Katherine Ducich,1888.964,328.5942,36,0,Budget
Katherine Hughes,3100.612,528.2051,40,0,Budget
Katherine Murray,5620.186,973.7901999999999,69,1,Regular
Katherine Nockton,2617.272,-151.1518,56,1,Regular
Katrina Bavinger,908.821,274.297,25,0,Budget
Katrina Edelman,1686.7312,397.87989999999996,67,1,Regular
Katrina Willman,4416.5199999999995,1756.135,42,1,Regular
Kean Nguyen,2171.962,114.3083,49,0,Budget
Kean Takahito,3057.1,254.0032,45,0,Budget
Kean Thornton,4642.088400000001,194.0671,37,0,Budget
Keith Dawkins,8181.256,3038.6254,84,2,Premium
Keith Herrera,5952.859,656.1162,91,1,Regular
Kelly Andreada,1519.506,234.9194,57,1,Regular
Kelly Collister,3908.262,709.4219,28,0,Budget
Kelly Lampkin,5016.488,-182.78130000000002,84,1,Regular
Kelly Williams,449.096,107.92699999999999,22,0,Budget
Ken Black,2744.742,579.3551,102,1,Regular
Ken Brennan,983.922,293.55240000000003,29,0,Budget
Ken Dana,2243.5099999999998,539.7219,56,1,Regular
Ken Heidel,3918.9660000000003,727.3786,84,1,Regular
Ken Lonsdale,14175.229000000001,806.855,113,2,Premium
Khloe Miller,453.538,91.1391,30,0,Budget
Kimberly Carter,1146.05,156.7797,40,0,Budget
Kristen Hastings,5990.799,1227.5091,69,1,Regular
Kristina Nunn,2280.58,329.76250000000005,55,1,Regular
Kunst Miller,4909.472,745.7685,98,1,Regular
Larry Blacks,50.188,18.6507,12,0,Budget
Larry Hughes,287.426,12.627699999999999,12,0,Budget
Larry Tron,329.876,59.036,8,0,Budget
Laura Armstrong,8673.222,2059.1199,105,2,Premium
Laurel Beltran,4985.676,-52.19099999999998,76,1,Regular
Laurel Elliston,1469.45,161.76489999999998,32,0,Budget
Laurel Workman,2238.061,32.5767,50,0,Budget
Lauren Leatherbury,2741.2039999999997,560.0078,50,1,Regular
Lela Donovan,5.304,0.4641,3,0,Budget
Lena Cacioppo,2580.7039999999997,-188.25110000000004,113,1,Regular
Lena Creighton,7663.126,1288.3469,93,2,Premium
Lena Hernandez,2295.332,526.0727,64,1,Regular
Lena Radford,5142.892,535.4764,64,1,Regular
Linda Cazamias,4492.946,288.26599999999996,52,1,Regular
Linda Southworth,2845.27,-318.77369999999996,51,0,Budget
Lindsay Castell,3246.626,299.48019999999997,30,0,Budget
Lindsay Shagiari,2988.674,262.63669999999996,63,1,Regular
Lindsay Williams,3230.308,662.8339000000001,38,0,Budget
Lisa DeCherney,1961.934,557.1714,25,0,Budget
Lisa Hazard,318.239,-242.73989999999998,34,0,Budget
Lisa Ryan,1879.306,-382.8079,44,0,Budget
Liz Carlisle,2095.064,86.77799999999999,43,0,Budget
Liz MacKendrick,1346.774,-44.87799999999999,32,0,Budget
Liz Pelletier,756.606,110.7813,39,0,Budget
Liz Preis,3653.399,338.44539999999995,52,1,Regular
Liz Thompson,2936.252,320.973,63,1,Regular
Liz Willingham,1259.04,192.6312,15,0,Budget
Logan Currie,2633.582,231.12520000000004,62,1,Regular
Logan Haushalter,1739.689,316.5202,44,0,Budget
Lori Olson,644.35,150.1712,34,0,Budget
Luke Foster,3930.5089999999996,-3583.977,69,1,Regular
Luke Schmidt,1010.2560000000001,244.197,54,0,Budget
Luke Weiss,5420.514,837.2411,59,1,Regular
Lycoris Saunders,368.88000000000005,39.1952,16,0,Budget
Lynn Smith,1008.1360000000001,348.3584,47,0,Budget
Magdelene Morse,1314.023,178.402,17,0,Budget
Marc Crier,2725.982,461.0014,54,1,Regular
Marc Harrigan,2394.025,28.761200000000038,55,1,Regular
Maria Bertelson,1548.702,212.425,63,1,Regular
Maria Etezadi,10663.728000000001,1859.4695,82,2,Premium
Maria Zettner,593.606,85.01910000000001,11,0,Budget
Maribeth Dona,3766.382,-241.94999999999996,64,1,Regular
Maribeth Schnelling,7443.6900000000005,844.9354999999998,105,2,Premium
Maribeth Yedwab,2254.285,319.1211,49,0,Budget
Marina Lichtenstein,2722.843,684.9162,72,1,Regular
